Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-39, -5, -23]","[-23, 28, -42]","[-17, 19, -22]","[-27, -1, -10]","[-20, -6, -16]","[-15, -24, -27]","[-4, -24, 0]","[-12, -13, -9]",Evan_001_001
"[-39, -3, -16]","[-18, 22, -45]","[-17, 16, -22]","[-27, -1, -6]","[-17, -4, -20]","[-18, -23, -27]","[-4, -22, -1]","[-14, -11, -6]",Evan_001_001
"[-34, -3, -20]","[-17, 24, -39]","[-18, 18, -19]","[-28, 0, -4]","[-18, -5, -14]","[-17, -24, -21]","[-5, -22, 5]","[-12, -12, -6]",Evan_001_001
"[-38, -3, -20]","[-21, 27, -40]","[-18, 16, -16]","[-28, 0, -1]","[-20, -3, -26]","[-19, -23, -23]","[-2, -23, 0]","[-14, -9, -8]",Evan_001_001
"[-37, 0, -16]","[-23, 26, -37]","[-14, 15, -9]","[-26, 1, 0]","[-19, -4, -20]","[-20, -24, -33]","[-5, -28, -7]","[-9, -9, -10]",Evan_001_001
"[-39, 3, -17]","[-26, 28, -38]","[-18, 15, -16]","[-25, 0, 0]","[-20, -4, -21]","[-19, -21, -27]","[-6, -26, -1]","[-9, -11, -13]",Evan_001_001
"[-38, -1, -16]","[-26, 28, -40]","[-17, 17, -12]","[-26, 0, 1]","[-18, -4, -18]","[-18, -23, -29]","[-5, -20, -3]","[-11, -12, -11]",Evan_001_001
"[-38, 0, -10]","[-23, 24, -35]","[-15, 16, -13]","[-25, -2, 2]","[-20, -4, -20]","[-18, -24, -30]","[-6, -26, -5]","[-13, -10, -13]",Evan_001_001
"[-37, 1, -19]","[-22, 26, -35]","[-14, 11, -11]","[-23, -1, 4]","[-17, -5, -25]","[-18, -25, -27]","[-7, -23, -2]","[-11, -14, -10]",Evan_001_001
"[-37, -1, -16]","[-21, 25, -37]","[-16, 12, -10]","[-23, 0, -1]","[-18, -2, -23]","[-19, -19, -23]","[-4, -25, -3]","[-9, -10, -5]",Evan_001_001
"[-34, -4, -17]","[-18, 25, -34]","[-15, 13, -12]","[-24, -1, -4]","[-18, -4, -23]","[-17, -20, -23]","[-3, -22, -3]","[-11, -13, -11]",Evan_001_001
"[-37, -5, -12]","[-23, 26, -36]","[-15, 15, -16]","[-22, 0, -3]","[-16, -3, -20]","[-16, -26, -30]","[-2, -22, -1]","[-10, -9, -6]",Evan_001_001
"[-36, -3, -17]","[-19, 24, -36]","[-15, 11, -16]","[-23, 0, 1]","[-19, -5, -21]","[-17, -26, -28]","[-2, -24, -5]","[-12, -13, -8]",Evan_001_001
"[-33, 0, -17]","[-21, 25, -36]","[-14, 14, -7]","[-21, 0, -3]","[-16, -6, -18]","[-19, -22, -30]","[-1, -23, -3]","[-12, -11, -8]",Evan_001_001
"[-33, 0, -12]","[-19, 27, -35]","[-13, 12, -16]","[-22, 0, 1]","[-19, -6, -16]","[-20, -21, -22]","[-1, -20, 2]","[-12, -11, -8]",Evan_001_001
"[-35, -2, -18]","[-20, 26, -39]","[-13, 15, -18]","[-22, 0, -4]","[-15, -4, -23]","[-18, -25, -23]","[-2, -22, -4]","[-11, -10, -4]",Evan_001_001
"[-33, 3, -19]","[-19, 27, -40]","[-15, 16, -15]","[-25, 0, -3]","[-18, -4, -14]","[-15, -22, -24]","[-6, -23, -5]","[-10, -11, -7]",Evan_001_001
"[-38, 0, -19]","[-20, 26, -38]","[-12, 14, -7]","[-21, 1, 1]","[-14, -5, -21]","[-19, -26, -29]","[-4, -25, -3]","[-11, -11, -14]",Evan_001_001
"[-33, -2, -16]","[-20, 23, -34]","[-16, 15, -9]","[-23, 0, -4]","[-17, -2, -24]","[-13, -23, -23]","[-5, -21, -3]","[-11, -11, -8]",Evan_001_001
"[-33, -3, -13]","[-21, 24, -36]","[-13, 10, -12]","[-23, -2, -3]","[-19, -5, -25]","[-20, -29, -22]","[0, -25, 0]","[-8, -12, -8]",Evan_001_001
"[-33, -2, -13]","[-24, 26, -28]","[-13, 12, -12]","[-21, -4, 1]","[-17, -7, -20]","[-14, -23, -25]","[-2, -20, -3]","[-15, -12, -6]",Evan_001_001
"[-33, 0, -9]","[-23, 24, -32]","[-13, 11, -12]","[-21, 4, -1]","[-15, -2, -22]","[-19, -24, -23]","[-2, -24, -3]","[-10, -7, -7]",Evan_001_001
"[-31, -2, -8]","[-18, 21, -31]","[-14, 13, -12]","[-22, -4, 5]","[-21, -4, -19]","[-16, -26, -26]","[-3, -21, -4]","[-11, -10, -11]",Evan_001_001
